Codigo,Descripcion,Costo,Precio2,,
000004,LED0059   DICROICO LED 5W. 120V. MR16 AMARILLO    «LUXLITE»,22,29,,
000005,SW-100   MINI SWITCH ON-OFF 6/3AMP. 2P  ROJO,0,0,,
001001,26150709AB   JUEGO DE 110 PZS    «DREMEL»,247.9,327.25,,
001002,2615302695   JGO. CARBONES  DREMEL,17.76,23.45,,
001003,DREMEL SERIE 300 26 ACCESORIOS,372.4,454.35,,
001004,115   FRESA DE ALTA VELOCIDAD 5/16 (2615000115)   «DREMEL»,29.23,38,,
001005,117   FRESA DE ALTA VELOCIDAD 1/4 (2615000117)    «DREMEL»,29.23,38,,
001006,121   FRESA DE ALTA VELOCIDAD 1/4 (2615000121)    «DREMEL»,29.6,38.5,,
001007,134   FRESA DE ALTA VELOCIDAD 5/16 (2615000134)    «DREMEL»,29.23,38,,
001008,191   FRESE DE ALTA VELOCIDAD 1/8 (2615000191)    «DREMEL»,29.23,38,,
001009,194   FRESA DE ALTA VELOCIDAD 1/8 (2615000194)    «DREMEL»,29.23,38,,
001010,199   FRESA DE ALTA VELOCIDAD 3/8 (2615000199)    «DREMEL),29.23,38,,
001011,409   DISCO DE CORTE 15/16 36PCS. (2615000409)    «DREMEL»,41.8,55.25,,
001012,420   DISCO DE CORTE TRAB. PESADO 20PCS 15/16 (2615000420)    «DREMEL»,31.45,41,,
001013,426   DISCO DE CORTE REFORZADO 5PCS. 1 1/4 (2615000426)    «DREMEL»,38.48,50,,
001014,9936   FRESA DISCO DENTADO 3/4 (2615009936)    «DREMEL»,103.6,134.68,,
001015,220-01   PEDESTAL P/HERRAM. 275-400XPR (26150220AA)    «DREMEL»,358.9,466.57,,
001016,225-01   EXTENSION FLEXIBLE 26150225AB)    «DREMEL»,236.8,307.84,,
001017,335-01   PEDESTAL P/USO COMO ROUTER (26150335AA)    «DREMEL»,217.56,282.85,,
001018,545   DISCO CORTE DE DIAMANTE 7/8 (2615054500)    «DREMEL»,108.04,146,,
001019,670  ACOPLE P/MINI SIERRA CIRCULAR (26150670AC)    «DREMEL»,197.58,256.85,,
001020,684-01   JGO. P/LIMPIEZA Y PULIDO 20PCS (2610920466)    «DREMEL»,99.9,129.85,,
001021,686-01   JGO. P/LIJAR Y ESMERILAR 31PCS (2610920468)    «DREMEL»,115.44,151.25,,
001022,709-RW   JGO. ACCESORIOS MULTIUSO 110PCS (2610011520)    «DREMEL»,162.8,211.64,,
001023,83322   PIEDRA DE ESMERILAR CARB. DE SILICIO 1/8 (2615083322)    «DREMEL»,15.17,19.72,,
001024,7144   FRESA CONICA DE DIAMANTE 3/32 (2615007144)    «DREMEL»,39.22,51,,
001025,8175   PIEDRA CILINDRICA DE ESMERILAR 3/8 (2615008175)    «DREMEL»,16.28,21.5,,
001026,8193   PIEDRA CILINDRICA DE ESMERILAR 5/8 (2615008193)    «DREMEL»,16.28,21.5,,
001027,9901   FRESA CORTADORA CARB. DE TUNGSTENO 1/8 (2615009901)    «DREMEL»,60.31,78.4,,
001028,9903   FRESA DE CORTE PUNTA RED. C. DE TUNGSTENO 1/8    «DREMEL»,65.12,84.66,,
001029,9905   FRESA DE CORTE RED. CARB. DE TUNGST. 1/8 (2615009905)    «DREMEL»,61.05,79.35,,
001030,9911   FRESA DE CORTE OVALADA CARB. TUNGSTENO 1/8 (2615009911)    «DREMEL»,61.79,80.33,,
001031,9931   FRESA DE CORTE CONICA DENTADA 1/4 (2615009931)    «DREMEL»,107.3,139.49,,
001032,9934  FRESA DE CORTE CONICA DENTADA 5/16 (2615009934)    «DREMEL»,93.24,121.21,,
001033,E476   DISCO CORTE PLASTICO 1 1/2 5PCS (2615E476AC)    «DREMEL»,81.4,106.65,,
001034,1550 T2   VERSATIP,229.4,299.85,,
001035,SC402  MANDRIL SUJECION RAP. P/DISCO (2615S402JA)    «DREMEL»,39.96,52.35,,
001036,SC409   DISCO CORTE METAL EZ 1 1/2 5PCS      «DREMEL»,23.31,30.55,,
001037,100   FRESA ALTA VELOCIDAD 1/4 (2615000100)    «DREMEL»,29.23,38.3,,
001038,106   FRESA PARA GRABAR 1/16 (2615000106)    «DREMEL»,14.8,19.4,,
001039,"109   FRESA PARA GRABAR 1/16"" (2615000109)    «DREMEL»",14.8,19.4,,
001040,113   FRESA PARA GRABAR 1/16 (2615000113)    «DREMEL»,16.28,21.35,,
001041,85422   PIEDRA PLANA CARB. DE SILICIO 25/32 (2615085422)   «DREMEL»,14.8,19.4,,
001042,4485   JGO. PINZA Y TUECA P/SUJECION    «DREMEL»,34.04,44.6,,
001043,"500   DISCO ABRASIVO P/PULIR 1"" (2615000500)    «DREMEL»",50.69,66.4,,
001044,"612   FRESA PARA MADERA 3/32"" (2615000612)    «DREMEL»",59.2,77.55,,
001045,"615   FRESA P/MADERA REDONDEAR ESQUINA 1/8"" (2615000615)    «DREMEL»",59.94,77.95,,
001046,"617   FRESA P/MADERA CANAL REDONDO 1/4"" (2615000617)    «DREMEL»",45.88,60,,
001047,"650   FRESA P/MADERA CANAL RECTO 1/8"" (2615000650)    «DREMEL»",51.8,67.85,,
001048,"932   PIEDRA CILINDRICA P/ESMERILAR 3/8"" (2615000932)    «DREMEL»",14.8,19.4,,
001049,"952   PIEDRA CONICA P/PULIR 3/8"" (2615000952)    «DREMEL»",15.17,19.85,,
001050,4486   MANDRIL DE SUJECION RAPIDA (2615004486)    «DREMEL»,48.84,63.5,,
001051,"7103   FRESA REDONDA DE DIAMANTE 5/64"" (2615007103)    «DREMEL»",39.22,51.45,,
001052,"7105   FRESA REDONDA DE DIAMANTE 11/64"" (2615007105)    «DREMEL»",63.64,83.45,,
001053,2615E402AC   MANDRIL EZ-LOCK    «DREMEL»,39.96,52.75,,
001054,114   FRESA DE ALTA VELOCIDAD 5/16 (2615000114)   «DREMEL»,29.23,38.65,,
